Master Deliverables List,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
61,Instrument Index,,IFA,IFC,I&C,if not IFA'd in define
62,Instrument datasheets ,IFA,IFB,IFP,I&C,Balance of instruments not purchased in Define Phase
63,Instrument Cable Schedule,,IFA,IFC,I&C,
64,Field Junction Box layouts,,IFA,IFC,I&C,
65,Marshalling panel layouts,,IFA,IFC,I&C,
66,Control system cabinet design ,,IFA,IFC,I&C,IFP if we are purchasing
67,Loop Diagrams,,IFA,IFC,I&C,
68,Wiring Diagrams,,IFA,IFC,I&C,
69,Instrument plan drawings,,IFA,IFC,I&C,
70,Demo wiring and plan drawings,,IFA,IFC,I&C,
71,Installation Details,IFR,,,I&C,Issue new or project approval details as IFA/IFR 
72,Instrument Installation BOM,,IFA,IFP,I&C,
73,FAT/SAT Procedures and Execution,,IFA,IFRecord,I&C,
74,PLC/HMI Programming,,IFA,IFRecord,I&C,
75,Cause and Effect Matrix,,IFA,IFC,I&C,
76,Control system philosophy & narrative,,IFA,IFC,I&C,Balance of work not covered in Define phase
77,SIL Calculations,,IFA,IFRecord,I&C,
78,Mechanical Equipment Commercial Bid Tab and Purchase Recommendation,,IFA,,Procurement,
79,Electrical Equipment Commercial Bid Tab and Purchase Recommendation,,IFA,,Procurement,
80,I&C Commercial Bid Tab and Purchase Recommendation,,IFA,,Procurement,
81,"Execution Plan for Detail Design, Procurement and Construction",,IFA,FYU,PM,If not completed in define
82,Detail project schedule,,IFA,FYU,PM,Updated/refined from define phase
83,Basis of Design - all disciplines,,,Final,PM,updated from define phase as required
